Data	MSE	Diag	Hessian	OBQAware
opt-125m/1.self_attn.out_proj	2.2386482669389807e-05	2.265348484797869e-05	2.234424937341828e-05	1.9919321857742034e-05
opt-125m/1.self_attn.q_proj	0.1340513378381729	0.059449803084135056	0.05587733909487724	0.045094043016433716
opt-125m/1.self_attn.v_proj	0.00189178716391325	0.0016907838871702552	0.0016229981556534767	0.0014941549161449075
opt-125m/10.fc1	0.014061885885894299	0.014396656304597855	0.013610887341201305	0.012532654218375683
opt-125m/10.fc2	0.0016688482137396932	0.0016910532722249627	0.001763950102031231	0.0016125052934512496
opt-125m/10.self_attn.k_proj	0.674627959728241	0.4070417881011963	0.3720764219760895	0.32818126678466797
opt-125m/10.self_attn.out_proj	0.0005899126990698278	0.0006003368180245161	0.0006112200790084898	0.0005765596870332956
opt-125m/10.self_attn.q_proj	0.35992002487182617	0.2656245529651642	0.2568953037261963	0.222723126411438
opt-125m/10.self_attn.v_proj	0.01959376595914364	0.019622111693024635	0.019913535565137863	0.01921466551721096
opt-125m/11.fc1	0.01842617057263851	0.019850851967930794	0.01705898530781269	0.015215784311294556
opt-125m/11.fc2	0.0025059643667191267	0.0026044026017189026	0.0025174105539917946	0.002062905812636018
opt-125m/11.self_attn.k_proj	0.2754991948604584	0.228627011179924	0.21651887893676758	0.20052677392959595
opt-125m/11.self_attn.out_proj	0.0012459574500098825	0.0012928172945976257	0.0013003979111090302	0.0011796903563663363
opt-125m/11.self_attn.q_proj	0.15153497457504272	0.1449481099843979	0.1372452825307846	0.1300581991672516
opt-125m/11.self_attn.v_proj	0.025365618988871574	0.025665240362286568	0.025863079354166985	0.024826327338814735
opt-125m/2.fc1	0.004775177221745253	0.009283404797315598	0.0049974569119513035	0.003809994086623192
opt-125m/2.fc2	9.665006655268371e-05	9.860554564511403e-05	9.705539559945464e-05	9.004836465464905e-05
opt-125m/2.self_attn.k_proj	0.5319854617118835	0.1996612697839737	0.17331834137439728	0.14036603271961212
opt-125m/2.self_attn.out_proj	2.8219015803188086e-05	3.1648974982090294e-05	3.018632560269907e-05	2.7169042368768714e-05
opt-125m/2.self_attn.q_proj	0.3810286819934845	0.16347450017929077	0.13451148569583893	0.10696601122617722
opt-125m/2.self_attn.v_proj	0.0037197622004896402	0.003706480609253049	0.003626147285103798	0.0033964011818170547
opt-125m/3.fc1	0.0034567750990390778	0.004250684287399054	0.0037513263523578644	0.0029941245447844267
opt-125m/3.fc2	8.213229739340022e-05	8.305752999149263e-05	8.031770266825333e-05	7.667439786018804e-05
opt-125m/3.self_attn.k_proj	0.9599082469940186	0.12981285154819489	0.11101076751947403	0.09233960509300232
opt-125m/3.self_attn.out_proj	3.42301900673192e-05	3.4626482374733314e-05	3.5071876482106745e-05	3.2919600926106796e-05
opt-125m/3.self_attn.q_proj	0.8449528813362122	0.10296780616044998	0.0924091562628746	0.07976442575454712
opt-125m/3.self_attn.v_proj	0.005062723066657782	0.004981639329344034	0.004945349879562855	0.004672352224588394
opt-125m/4.fc1	0.0056993309408426285	0.008095803670585155	0.007090216036885977	0.004945423454046249
opt-125m/4.fc2	0.00017030297021847218	0.00015991715190466493	0.00015978413284756243	0.00015008178888820112
opt-125m/4.self_attn.k_proj	1.6883955001831055	0.19408340752124786	0.17493771016597748	0.1435641497373581
opt-125m/4.self_attn.out_proj	4.982727477909066e-05	5.027369479648769e-05	5.084038639324717e-05	4.8186659114435315e-05
opt-125m/4.self_attn.q_proj	1.0829375982284546	0.17881937325000763	0.16266818344593048	0.1335737705230713
opt-125m/4.self_attn.v_proj	0.006661262828856707	0.00664413021877408	0.006652653217315674	0.006343783810734749
opt-125m/5.fc1	0.00479090865701437	0.005653262138366699	0.004932465497404337	0.0042969477362930775
opt-125m/5.fc2	0.00025880950852297246	0.00024812808260321617	0.00024988860241137445	0.00023045683337841183
opt-125m/5.self_attn.k_proj	1.5942907333374023	0.23110751807689667	0.20651693642139435	0.1718929558992386
opt-125m/5.self_attn.out_proj	8.461389370495453e-05	8.611985686002299e-05	8.762002835283056e-05	8.268811507150531e-05
opt-125m/5.self_attn.q_proj	1.0598136186599731	0.2151341289281845	0.19371068477630615	0.16441552340984344
opt-125m/5.self_attn.v_proj	0.0060537029057741165	0.006028205156326294	0.006079753395169973	0.005815839860588312
opt-125m/6.fc1	0.0050922539085149765	0.0059472620487213135	0.005019153002649546	0.004346763715147972
