Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/3.self_attention.dense	0.0208835881203413	0.0023036969359964132	0.0020702180918306112	0.0017499488312751055	0.0014564060838893056
bloom-560m/3.self_attention.query_key_value	0.719510555267334	0.13384287059307098	0.13168103992938995	0.12420627474784851	0.12040627002716064
bloom-560m/4.mlp.dense_4h_to_h	0.3523695766925812	0.06585656851530075	0.06581313163042068	0.05914711952209473	0.03361287713050842
bloom-560m/4.mlp.dense_h_to_4h	0.7215655446052551	0.1270875781774521	0.1275322288274765	0.12276162952184677	0.11347880214452744
bloom-560m/4.self_attention.dense	0.025737542659044266	0.0022910365369170904	0.002212502993643284	0.0017814195016399026	0.0016787487547844648
bloom-560m/4.self_attention.query_key_value	0.756615936756134	0.13844291865825653	0.1347380429506302	0.12563174962997437	0.12142658233642578
bloom-560m/5.mlp.dense_4h_to_h	0.4720454514026642	0.008708426728844643	0.008299469947814941	0.008424276486039162	0.008031691424548626
bloom-560m/5.mlp.dense_h_to_4h	0.8339439630508423	0.10046961903572083	0.10206728428602219	0.09537342190742493	0.08902733027935028
bloom-560m/5.self_attention.dense	0.04142436757683754	0.0026315441355109215	0.0021935347467660904	0.0021673133596777916	0.0019479505717754364
bloom-560m/5.self_attention.query_key_value	0.8378346562385559	0.1807316094636917	0.1635170578956604	0.14885295927524567	0.14198438823223114
bloom-560m/6.mlp.dense_4h_to_h	0.39461854100227356	0.007773994002491236	0.007758564315736294	0.008021747693419456	0.0076511576771736145
bloom-560m/6.mlp.dense_h_to_4h	1.1703722476959229	0.12227412313222885	0.12393103539943695	0.114768847823143	0.10611559450626373
bloom-560m/6.self_attention.dense	0.04802165925502777	0.0028069340623915195	0.002874490339308977	0.003089682664722204	0.002698902040719986
bloom-560m/6.self_attention.query_key_value	1.2822681665420532	0.28085488080978394	0.2283267378807068	0.20065276324748993	0.187359020113945
bloom-560m/7.mlp.dense_4h_to_h	0.28394752740859985	0.007092013955116272	0.0057148197665810585	0.005883467849344015	0.005550832487642765
bloom-560m/7.mlp.dense_h_to_4h	0.5872655510902405	0.07205165177583694	0.07215829193592072	0.06785507500171661	0.06122468411922455
bloom-560m/7.self_attention.dense	0.04186929762363434	0.0026540199760347605	0.0026467249263077974	0.0026072990149259567	0.002235964871942997
bloom-560m/7.self_attention.query_key_value	1.320586085319519	0.2901557385921478	0.2311132401227951	0.19953536987304688	0.18069951236248016
bloom-560m/8.mlp.dense_4h_to_h	0.14075323939323425	0.006760642863810062	0.004235108382999897	0.004415773320943117	0.00413094274699688
bloom-560m/8.mlp.dense_h_to_4h	0.4072316586971283	0.052239883691072464	0.051153864711523056	0.04838002845644951	0.04453685134649277
bloom-560m/8.self_attention.dense	0.05371953919529915	0.00241914507932961	0.002419888274744153	0.00258098216727376	0.0023465100675821304
bloom-560m/8.self_attention.query_key_value	2.0847294330596924	0.5346571803092957	0.3547337055206299	0.31133201718330383	0.28140124678611755
bloom-560m/9.mlp.dense_4h_to_h	0.1045384332537651	0.006458680145442486	0.0036413201596587896	0.0038136655930429697	0.0035494803451001644
bloom-560m/9.mlp.dense_h_to_4h	0.3436051607131958	0.04227122664451599	0.041014619171619415	0.03811035305261612	0.03541131317615509
bloom-560m/9.self_attention.dense	0.05393209308385849	0.002559702843427658	0.002632839372381568	0.0025588376447558403	0.002479977672919631
bloom-560m/9.self_attention.query_key_value	1.9734731912612915	0.6412001848220825	0.3514377772808075	0.3277135193347931	0.29494714736938477
opt-125m/0.fc1	0.044466424733400345	0.004699374083429575	0.004812460858374834	0.004486426245421171	0.0033106717746704817
opt-125m/0.fc2	0.01010590884834528	0.011474612168967724	0.005853140726685524	0.0015102348988875747	0.0009373482316732407
opt-125m/0.self_attn.k_proj	2.461282730102539	0.6955170631408691	0.5370107293128967	0.4724552631378174	0.36852654814720154
opt-125m/0.self_attn.out_proj	0.0013291958021000028	0.00033048700424842536	0.00016293647058773786	0.0001345243799732998	0.00010549040598561987
opt-125m/0.self_attn.q_proj	1.836795449256897	0.4582621157169342	0.36271634697914124	0.30993616580963135	0.26881110668182373
opt-125m/0.self_attn.v_proj	0.040478628128767014	0.004063273314386606	0.0038479676004499197	0.00354912132024765	0.003208629786968231
opt-125m/1.fc1	0.10912302881479263	0.009225928224623203	0.039581019431352615	0.010247460566461086	0.0074537708424031734
opt-125m/1.fc2	0.015573970973491669	0.0016711015487089753	0.0016595227643847466	0.0015664086677134037	0.0006787821184843779
opt-125m/1.self_attn.k_proj	1.2038555145263672	0.6530139446258545	0.482917457818985	0.3770692050457001	0.23069173097610474
opt-125m/1.self_attn.out_proj	0.002080832375213504	0.00010380446474300697	9.804600267671049e-05	9.787907038116828e-05	8.180164877558127e-05
opt-125m/1.self_attn.q_proj	0.9837571978569031	0.358466237783432	0.2758427858352661	0.20534197986125946	0.1416003555059433
opt-125m/1.self_attn.v_proj	0.03559758886694908	0.005763170775026083	0.005587721709161997	0.005166690330952406	0.00446817884221673
opt-125m/10.fc1	0.3775441348552704	0.040957652032375336	0.04216007515788078	0.02974090725183487	0.028030669316649437
opt-125m/10.fc2	0.16396655142307281	0.00309163355268538	0.0030718420166522264	0.0034363334998488426	0.0030167915392667055
opt-125m/10.self_attn.k_proj	7.169660568237305	1.0176445245742798	0.817620575428009	0.7669361233711243	0.7022592425346375
opt-125m/10.self_attn.out_proj	0.02121651917695999	0.0011903975391760468	0.0012131758267059922	0.0012257761554792523	0.0011605689069256186
opt-125m/10.self_attn.q_proj	4.831379413604736	0.6373094916343689	0.526153028011322	0.47313812375068665	0.4439891576766968
opt-125m/10.self_attn.v_proj	0.678814172744751	0.04470529779791832	0.045774709433317184	0.04614920914173126	0.043636489659547806
opt-125m/11.fc1	1.070960283279419	0.07427849620580673	0.09341350942850113	0.04402095079421997	0.03753538802266121
opt-125m/11.fc2	0.27943283319473267	0.070235475897789	0.07021843641996384	0.03049633651971817	0.00567457964643836
opt-125m/11.self_attn.k_proj	6.501284122467041	0.4861307442188263	0.4327712953090668	0.4019838571548462	0.38488659262657166
opt-125m/11.self_attn.out_proj	0.03890131413936615	0.0034687307197600603	0.003073430620133877	0.0033183314371854067	0.0027882971335202456
opt-125m/11.self_attn.q_proj	4.738149166107178	0.32742491364479065	0.3127731382846832	0.2750525176525116	0.2663445472717285
opt-125m/11.self_attn.v_proj	0.9621431827545166	0.05232414975762367	0.05249343439936638	0.05390777066349983	0.05111872777342796
opt-125m/2.fc1	0.13789713382720947	0.013804097659885883	0.028920978307724	0.013319931924343109	0.008496089838445187
opt-125m/2.fc2	0.01607109047472477	0.011190473102033138	0.007872186601161957	0.0012905722251161933	0.0010203515412285924
opt-125m/2.self_attn.k_proj	3.598128080368042	1.1315547227859497	0.8609046936035156	0.668484628200531	0.49464428424835205
opt-125m/2.self_attn.out_proj	0.0015892041847109795	6.120404577814043e-05	6.335732905426994e-05	6.541202310472727e-05	5.851038804394193e-05
opt-125m/2.self_attn.q_proj	3.0422956943511963	1.0247631072998047	0.6702206134796143	0.5465161800384521	0.39549362659454346
opt-125m/2.self_attn.v_proj	0.15081152319908142	0.01829719729721546	0.019920451566576958	0.01804480142891407	0.015161280520260334
opt-125m/3.fc1	0.1142941489815712	0.009469912387430668	0.011442544870078564	0.007254641503095627	0.006440655793994665
