Data	Scaling	Diag	DiagErr	DiagSqErr
opt-125m/0.self_attn.v_proj	mse	0.0005393268074840307	0.0005380494403652847	0.0005284809158183634
opt-125m/1.fc1	mse	0.0007504315581172705	0.0007474883459508419	0.0007438335451297462
opt-125m/1.fc2	mse	0.000533246377017349	0.0005325718666426837	0.0005374426837079227
opt-125m/1.self_attn.k_proj	mse	0.042733196169137955	0.04530899599194527	0.045666348189115524
opt-125m/1.self_attn.out_proj	mse	9.715419764688704e-06	9.72374891716754e-06	1.0139031473954674e-05
opt-125m/1.self_attn.q_proj	mse	0.021854320541024208	0.019867809489369392	0.021117493510246277
opt-125m/1.self_attn.v_proj	mse	0.00037047165096737444	0.0003712335310410708	0.00036851110053248703
opt-125m/10.fc1	mse	0.0023314310237765312	0.0023294768761843443	0.0023187280166894197
opt-125m/10.fc2	mse	0.00041392623097635806	0.00040431824163533747	0.00039137605926953256
opt-125m/10.self_attn.k_proj	mse	0.29600685834884644	0.30294373631477356	0.3029828667640686
opt-125m/10.self_attn.out_proj	mse	0.0001200337428599596	0.00011953616194659844	0.00011852409807033837
opt-125m/10.self_attn.q_proj	mse	0.12756015360355377	0.12805812060832977	0.13330493867397308
opt-125m/10.self_attn.v_proj	mse	0.004441680386662483	0.0044638062827289104	0.004435832146555185
opt-125m/11.fc1	mse	0.003059356240555644	0.0030520118307322264	0.003001547185704112
opt-125m/11.fc2	mse	0.0019026901572942734	0.0018558482406660914	0.0017574428347870708
opt-125m/11.self_attn.k_proj	mse	0.09318547695875168	0.09264200925827026	0.09217631071805954
opt-125m/11.self_attn.out_proj	mse	0.0002980087010655552	0.0002966267056763172	0.0002953282091766596
opt-125m/11.self_attn.q_proj	mse	0.03792055696249008	0.03737786039710045	0.03879116103053093
opt-125m/11.self_attn.v_proj	mse	0.005513548851013184	0.005469754803925753	0.005431752186268568
opt-125m/2.fc1	mse	0.0007996955537237227	0.0008008995209820569	0.0008003527182154357
opt-125m/2.fc2	mse	0.004455226007848978	0.004454874899238348	0.004454297479242086
opt-125m/2.self_attn.k_proj	mse	0.13825209438800812	0.13503001630306244	0.13110136985778809
opt-125m/2.self_attn.out_proj	mse	6.42557597529958e-06	6.414332801796263e-06	6.389072950696573e-06
opt-125m/2.self_attn.q_proj	mse	0.18688471615314484	0.18503369390964508	0.18567931652069092
opt-125m/2.self_attn.v_proj	mse	0.000699283613357693	0.0006940683233551681	0.0006837939727120101
opt-125m/3.fc1	mse	0.0006223240634426475	0.0006200868519954383	0.0006184448138810694
opt-125m/3.fc2	mse	0.00033736121258698404	0.00033691778662614524	0.0003364996227901429
opt-125m/3.self_attn.k_proj	mse	0.6562660336494446	0.6390741467475891	0.614079475402832
opt-125m/3.self_attn.out_proj	mse	7.372493655566359e-06	7.349277439061552e-06	7.327488219743827e-06
opt-125m/3.self_attn.q_proj	mse	0.5175319314002991	0.46583661437034607	0.4515893757343292
opt-125m/3.self_attn.v_proj	mse	0.001042541116476059	0.0010358814615756273	0.0010161830577999353
opt-125m/4.fc1	mse	0.0009199118358083069	0.0009173254366032779	0.0009116131695918739
opt-125m/4.fc2	mse	0.0004356852441560477	0.0004279040440451354	0.00042869526077993214
opt-125m/4.self_attn.k_proj	mse	0.8745288848876953	0.8737471699714661	0.8454950451850891
opt-125m/4.self_attn.out_proj	mse	9.995984328270424e-06	9.96387916529784e-06	9.88630472420482e-06
opt-125m/4.self_attn.q_proj	mse	0.5006985068321228	0.4532639682292938	0.4223611354827881
opt-125m/4.self_attn.v_proj	mse	0.001410708180628717	0.0013987012207508087	0.0013715833192691207
opt-125m/5.fc1	mse	0.0008069303003139794	0.0008052836055867374	0.0008021146059036255
opt-125m/5.fc2	mse	7.236155215650797e-05	7.225631998153403e-05	7.194990757852793e-05
opt-125m/5.self_attn.k_proj	mse	0.831143319606781	0.8288161158561707	0.8287425637245178
opt-125m/5.self_attn.out_proj	mse	1.7140911950264126e-05	1.711059121589642e-05	1.7033178664860316e-05
opt-125m/5.self_attn.q_proj	mse	0.5162556767463684	0.5135901570320129	0.5052350163459778
opt-125m/5.self_attn.v_proj	mse	0.0013440604088827968	0.001338769681751728	0.0013174312189221382
opt-125m/6.fc1	mse	0.0008374566095881164	0.0008382007363252342	0.0008163590100593865
opt-125m/6.fc2	mse	9.356136433780193e-05	9.313196642324328e-05	9.223054075846449e-05
opt-125m/6.self_attn.k_proj	mse	0.770192563533783	0.7702369093894958	0.7797158360481262
opt-125m/6.self_attn.out_proj	mse	2.349526585021522e-05	2.3384391170111485e-05	2.336318721063435e-05
opt-125m/6.self_attn.q_proj	mse	0.40360352396965027	0.40171584486961365	0.38568031787872314
opt-125m/6.self_attn.v_proj	mse	0.0018931204685941339	0.0018828930333256721	0.0018561462638899684
opt-125m/7.fc1	mse	0.001084109302610159	0.0010834275744855404	0.0010603362461552024
opt-125m/7.fc2	mse	0.00011121494026156142	0.00011089674808317795	0.00011007144348695874
opt-125m/7.self_attn.k_proj	mse	0.5140420794487	0.5286220908164978	0.524209201335907
opt-125m/7.self_attn.out_proj	mse	3.677919812616892e-05	3.6767047276953235e-05	3.70563539036084e-05
opt-125m/7.self_attn.q_proj	mse	0.2287357598543167	0.22906692326068878	0.21263720095157623
opt-125m/7.self_attn.v_proj	mse	0.002987724496051669	0.002962492173537612	0.0029314623679965734
opt-125m/8.fc1	mse	0.001489574438892305	0.001487485133111477	0.0014625362819060683
opt-125m/8.fc2	mse	0.00017735878645908087	0.00017640615988057107	0.00017384001694153994
opt-125m/8.self_attn.k_proj	mse	0.4121045172214508	0.41886940598487854	0.4345976412296295
opt-125m/8.self_attn.out_proj	mse	5.917654561926611e-05	5.903497731196694e-05	5.8807770983548835e-05
opt-125m/8.self_attn.q_proj	mse	0.16321073472499847	0.16177962720394135	0.1684843748807907
opt-125m/8.self_attn.v_proj	mse	0.0031907677184790373	0.0031661458779126406	0.00314147025346756
opt-125m/9.fc1	mse	0.0018671784782782197	0.0018654594896361232	0.0018629049882292747
opt-125m/9.fc2	mse	0.00025235521025024354	0.0002484616416040808	0.00024336871865671128
opt-125m/9.self_attn.k_proj	mse	0.2629792392253876	0.27632856369018555	0.27467504143714905
opt-125m/9.self_attn.out_proj	mse	0.0001011443164316006	0.00010066604590974748	0.00010026300878962502
opt-125m/9.self_attn.q_proj	mse	0.09444040060043335	0.09437105059623718	0.09512495994567871
opt-125m/9.self_attn.v_proj	mse	0.003644828451797366	0.0036248918622732162	0.003608107566833496
opt-350m/0.fc1	mse	0.006139175035059452	0.006137353368103504	0.006050633266568184
opt-350m/0.fc2	mse	0.00043153768638148904	0.0004313355893827975	0.0004299782740417868
opt-350m/0.self_attn.k_proj	mse	7.555902993772179e-05	9.214657620759681e-05	8.59152278280817e-05
opt-350m/0.self_attn.out_proj	mse	1.135811800168085e-08	1.1309754910371339e-08	1.1260145704738989e-08
opt-350m/0.self_attn.q_proj	mse	5.577189949690364e-05	5.662608236889355e-05	5.43994756299071e-05
opt-350m/0.self_attn.v_proj	mse	4.633343451132532e-06	4.496138899412472e-06	4.100003934581764e-06
opt-350m/1.fc1	mse	0.007614707574248314	0.007575140800327063	0.007482406683266163
opt-350m/1.fc2	mse	0.0005695541622117162	0.0005689468234777451	0.0005688265664502978
opt-350m/1.self_attn.k_proj	mse	0.00645424984395504	0.006386441644281149	0.006281082518398762
opt-350m/1.self_attn.out_proj	mse	0.00014746331726200879	0.00014679647574666888	0.000145376063301228
opt-350m/1.self_attn.q_proj	mse	0.006640499457716942	0.006565300282090902	0.006398976780474186
opt-350m/1.self_attn.v_proj	mse	0.0038507026620209217	0.003779750317335129	0.0035331505350768566
opt-350m/10.fc1	mse	0.014874627813696861	0.01485041156411171	0.01479867659509182
opt-350m/10.fc2	mse	0.0017938497476279736	0.0017780701164156199	0.0017635455587878823
opt-350m/10.self_attn.k_proj	mse	0.01985442265868187	0.01978978142142296	0.01966908946633339
opt-350m/10.self_attn.out_proj	mse	0.0008641781168989837	0.0008620471344329417	0.0008607500931248069
opt-350m/10.self_attn.q_proj	mse	0.020436055958271027	0.02035699039697647	0.020236290991306305
opt-350m/10.self_attn.v_proj	mse	0.010461043566465378	0.010413088835775852	0.010251471772789955
opt-350m/11.fc1	mse	0.015434378758072853	0.01541769877076149	0.015355922281742096
opt-350m/11.fc2	mse	0.0020287781953811646	0.0020124048460274935	0.0019988769199699163
opt-350m/11.self_attn.k_proj	mse	0.019129998981952667	0.01906381919980049	0.018920250236988068
opt-350m/11.self_attn.out_proj	mse	0.0006119841709733009	0.0006120300968177617	0.0006116747972555459
opt-350m/11.self_attn.q_proj	mse	0.0187542587518692	0.01868671551346779	0.01854657381772995
opt-350m/11.self_attn.v_proj	mse	0.012191595509648323	0.012136831879615784	0.01196965016424656
opt-350m/12.fc1	mse	0.016552770510315895	0.016529560089111328	0.016463294625282288
opt-350m/12.fc2	mse	0.002040520776063204	0.0020275849383324385	0.002010528463870287
opt-350m/12.self_attn.k_proj	mse	0.02005726471543312	0.019961951300501823	0.019827893003821373
opt-350m/12.self_attn.out_proj	mse	0.0009822368156164885	0.0009813085198402405	0.0009764516726136208
opt-350m/12.self_attn.q_proj	mse	0.0206526517868042	0.02057843655347824	0.0204482264816761
opt-350m/12.self_attn.v_proj	mse	0.014592345803976059	0.01449059508740902	0.014288465492427349
opt-350m/13.fc1	mse	0.016744082793593407	0.016722124069929123	0.016668610274791718
opt-350m/13.fc2	mse	0.0022076163440942764	0.0021927906200289726	0.0021773509215563536
opt-350m/13.self_attn.k_proj	mse	0.020748667418956757	0.020639438182115555	0.020522121340036392
opt-350m/13.self_attn.out_proj	mse	0.0010154882911592722	0.0010143740801140666	0.0010122274979948997
opt-350m/13.self_attn.q_proj	mse	0.020565319806337357	0.020517397671937943	0.020390629768371582
opt-350m/13.self_attn.v_proj	mse	0.01472398079931736	0.014674058184027672	0.014502817764878273
opt-350m/14.fc1	mse	0.016601528972387314	0.016582056879997253	0.016521386802196503
opt-350m/14.fc2	mse	0.002046489156782627	0.0020285702776163816	0.002012841170653701
opt-350m/14.self_attn.k_proj	mse	0.020944729447364807	0.020869197323918343	0.02074534446001053
opt-350m/14.self_attn.out_proj	mse	0.0005658755544573069	0.0005660273018293083	0.0005656421417370439
opt-350m/14.self_attn.q_proj	mse	0.02146025374531746	0.021410075947642326	0.021258283406496048
opt-350m/14.self_attn.v_proj	mse	0.015730489045381546	0.015638276934623718	0.015456353314220905
opt-350m/15.fc1	mse	0.016320407390594482	0.016293898224830627	0.016255725175142288
opt-350m/15.fc2	mse	0.0021116756834089756	0.002096723997965455	0.0020824468228965998
opt-350m/15.self_attn.k_proj	mse	0.021068919450044632	0.02097974345088005	0.02080569602549076
opt-350m/15.self_attn.out_proj	mse	0.0005726788658648729	0.0005723884096369147	0.00057145522441715
opt-350m/15.self_attn.q_proj	mse	0.021570881828665733	0.02151503413915634	0.02138490229845047
opt-350m/15.self_attn.v_proj	mse	0.014768999069929123	0.014672914519906044	0.014489540830254555
opt-350m/16.fc1	mse	0.015865469351410866	0.01584317535161972	0.01580619625747204
opt-350m/16.fc2	mse	0.002065349370241165	0.0020544256549328566	0.002040419727563858
opt-350m/16.self_attn.k_proj	mse	0.02106417529284954	0.020981870591640472	0.02085266262292862
opt-350m/16.self_attn.out_proj	mse	0.000740478397347033	0.0007394960848614573	0.0007376857101917267
