Data	Standard	Correction	Scaling	ScalingBiasOrder	ScalingOrder	ScalingBias		ScalingBiasOrderLS100		ScalingBiasOrderLS100
bloom-560m/19.self_attention.dense	0.0004943233216181397	0.0004915870958939195	0.0005127937765792012	0.00048320842324756086	0.00048640999011695385	0.000491874641738832		0.0004552473546937108		0.0004552473546937108
bloom-560m/19.self_attention.query_key_value	0.15054677426815033	0.15769557654857635	0.03467148169875145	0.03468984365463257	0.033388856798410416	0.03464670479297638		0.03145186975598335		0.03145186975598335
bloom-560m/2.mlp.dense_4h_to_h	0.0005150205106474459	0.0005094580119475722	0.0005142165464349091	0.0004887254908680916	0.0004894817247986794	0.0005082059651613235		0.000470760278403759		0.000470760278403759
bloom-560m/2.mlp.dense_h_to_4h	0.009528284892439842	0.009617695584893227	0.00984237901866436	0.009606643579900265	0.009600845165550709	0.00963540282100439		0.008501270785927773		0.008501270785927773
bloom-560m/2.self_attention.dense	7.344037294387817e-05	7.320860459003597e-05	7.490358257200569e-05	7.208406168501824e-05	7.254796219058335e-05	7.204830762930214e-05		6.969711103010923e-05		6.969711103010923e-05
bloom-560m/2.self_attention.query_key_value	0.010038602165877819	0.010055777616798878	0.010121976025402546	0.010009062476456165	0.010004592128098011	0.010072705335915089		0.008888588286936283		0.008888588286936283
bloom-560m/20.mlp.dense_4h_to_h	0.002537533175200224	0.0025106421671807766	0.0026947977021336555	0.002385413274168968	0.002387250540778041	0.002442428842186928		0.002323349006474018		0.002323349006474018
bloom-560m/20.mlp.dense_h_to_4h	0.012968258932232857	0.013758571818470955	0.013642819598317146	0.013586307875812054	0.013128843158483505	0.013609880581498146		0.012172568589448929		0.012172568589448929
bloom-560m/20.self_attention.dense	0.0009007747285068035	0.0008934198995120823	0.0010076318867504597	0.0008917498053051531	0.0009000734426081181	0.0009178813779726624		0.0008367217378690839		0.0008367217378690839
bloom-560m/20.self_attention.query_key_value	0.19202937185764313	0.19632792472839355	0.0376189686357975	0.037601422518491745	0.03701930493116379	0.03757733106613159		0.03415590897202492		0.03415590897202492
bloom-560m/21.mlp.dense_4h_to_h	0.007057654671370983	0.006756751798093319	0.007421792484819889	0.006002570502460003	0.0060674580745399	0.0060835592448711395		0.00584824662655592		0.00584824662655592
bloom-560m/21.mlp.dense_h_to_4h	0.01381385512650013	0.01379652414470911	0.014696578495204449	0.013704866170883179	0.013722417876124382	0.013870438560843468		0.0122359748929739		0.0122359748929739
bloom-560m/21.self_attention.dense	0.003191102994605899	0.002989368513226509	0.003042883239686489	0.002556980587542057	0.002619507722556591	0.0025473590940237045		0.002376479096710682		0.002376479096710682
bloom-560m/21.self_attention.query_key_value	0.20628170669078827	0.20529572665691376	0.04271259903907776	0.04429908096790314	0.04113310948014259	0.04403607174754143		0.03954809159040451		0.03954809159040451
bloom-560m/22.mlp.dense_4h_to_h	0.00948081910610199	0.0092027448117733	0.008722563274204731	0.0071318321861326694	0.007230360060930252	0.0073065003380179405		0.006937192752957344		0.006937192752957344
bloom-560m/22.mlp.dense_h_to_4h	0.012768360786139965	0.01294012926518917	0.017057102173566818	0.013130136765539646	0.013186832889914513	0.013217712752521038		0.011849119327962399		0.011849119327962399
bloom-560m/22.self_attention.dense	0.004112160764634609	0.004026535898447037	0.00381229305639863	0.0034388103522360325	0.003455067053437233	0.003390050958842039		0.0027316678315401077		0.0027316678315401077
bloom-560m/22.self_attention.query_key_value	0.09533338993787766	0.0700225755572319	0.03961516171693802	0.035063665360212326	0.03328191861510277	0.03612419217824936		0.02914939820766449		0.02914939820766449
bloom-560m/23.mlp.dense_4h_to_h	0.007376240566372871	0.006725398823618889	0.0033363602124154568	0.0026649348437786102	0.0027734509203583	0.002789614023640752		0.002524047624319792		0.002524047624319792
bloom-560m/23.mlp.dense_h_to_4h	0.010717961937189102	0.010539587587118149	0.014328183606266975	0.010601477697491646	0.010807308368384838	0.010581054724752903		0.009578428231179714		0.009578428231179714
bloom-560m/23.self_attention.dense	0.0009983910713344812	0.0009792981436476111	0.0008857498178258538	0.0009627467952668667	0.0009865111205726862	0.0009404346346855164		0.0007412763079628348		0.0007412763079628348
bloom-560m/23.self_attention.query_key_value	0.010161046870052814	0.010437797755002975	0.012649673037230968	0.010621320456266403	0.010345586575567722	0.010460699908435345		0.009455948136746883		0.009455948136746883
bloom-560m/3.mlp.dense_4h_to_h	0.0008741361671127379	0.0008673397242091596	0.0007883046055212617	0.0007488579722121358	0.0007513901218771935	0.0007938983617350459		0.0007179120439104736		0.0007179120439104736
bloom-560m/3.mlp.dense_h_to_4h	0.010423993691802025	0.010425664484500885	0.010717269033193588	0.010424502193927765	0.010448342189192772	0.010462789796292782		0.009265718050301075		0.009265718050301075
bloom-560m/3.self_attention.dense	0.00019417009025346488	0.0001833911082940176	0.00012474245158955455	0.00012125592911615968	0.0001220308622578159	0.00012072478421032429		0.00011599097342696041		0.00011599097342696041
