Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/18.mlp.dense_4h_to_h	mse	0.0037916009314358234	0.0037880814634263515	0.003782973624765873	0.0037867845967411995	0.003829050110653043	0.003963283263146877	0.004296649247407913
bloom-560m/18.mlp.dense_h_to_4h	mse	0.039941780269145966	0.03977913036942482	0.039655208587646484	0.03958878666162491	0.03992711007595062	0.04148613661527634	0.04581427946686745
bloom-560m/18.self_attention.dense	mse	0.001214370597153902	0.0012131762923672795	0.0012098118895664811	0.0012092398246750236	0.0012208994012326002	0.0012613000581040978	0.0013682832941412926
bloom-560m/18.self_attention.query_key_value	mse	0.2671678364276886	0.2586328685283661	0.2396516352891922	0.2256280779838562	0.20992136001586914	0.20791862905025482	0.227044939994812
bloom-560m/19.mlp.dense_4h_to_h	mse	0.0045633260160684586	0.004558213986456394	0.004546942189335823	0.004546819254755974	0.00460388045758009	0.004788130521774292	0.005231825634837151
bloom-560m/19.mlp.dense_h_to_4h	mse	0.041397012770175934	0.04119306057691574	0.04104405641555786	0.04101649671792984	0.04141315445303917	0.04302607476711273	0.047660890966653824
bloom-560m/19.self_attention.dense	mse	0.0015014959499239922	0.0015008398331701756	0.0015016072429716587	0.0015028014313429594	0.0015149631071835756	0.00156551250256598	0.0017037021461874247
bloom-560m/19.self_attention.query_key_value	mse	0.28730687499046326	0.28498730063438416	0.2895548641681671	0.2776840627193451	0.25105974078178406	0.24247996509075165	0.2568149268627167
bloom-560m/2.mlp.dense_4h_to_h	mse	0.001515144482254982	0.0015127926599234343	0.0015102315228432417	0.0015101844910532236	0.0015296738129109144	0.0015964368358254433	0.001770894625224173
bloom-560m/2.mlp.dense_h_to_4h	mse	0.032338403165340424	0.03229960426688194	0.0321744903922081	0.032039426267147064	0.03213959559798241	0.03316464275121689	0.03630775958299637
bloom-560m/2.self_attention.dense	mse	0.00026508839800953865	0.000265601760474965	0.00026019051438197494	0.00025932176504284143	0.0002591135853435844	0.00027478730771690607	0.00031885900534689426
bloom-560m/2.self_attention.query_key_value	mse	0.033598337322473526	0.033415596932172775	0.033284060657024384	0.0331900380551815	0.03327305242419243	0.034224070608615875	0.03737325593829155
