Data	Standard1-bit	Standard1.5-bit	Standard2-bit	Standard2.3-bit	Standard2.8-bit	Standard3-bit	Standard3.2-bit	Standard3.9-bit	Standard4-bit	Standard5-bit	SleekitLight1-bit	SleekitLight1.5-bit	SleekitLight2-bit	SleekitLight2.3-bit	SleekitLight2.8-bit	SleekitLight3-bit	SleekitLight3.2-bit	SleekitLight3.9-bit	SleekitLight4-bit	SleekitLight5-bit
bloom-560m/10.self_attention.dense	0.0030725111719220877	0.0015063260216265917	0.0009365393198095262	0.000648647197522223	0.0003780550614465028	0.0003061924362555146	0.0002528445911593735	0.00011185539187863469	0.0001007816317724064	3.192645817762241e-05	0.002965538762509823	0.0014581757131963968	0.0009067896753549576	0.000627057277597487	0.00036461249692365527	0.0002947894099634141	0.0002435312489978969	0.00010737594857346267	9.683305688668042e-05	3.082904368056916e-05
bloom-560m/10.self_attention.query_key_value	2.4113929271698	1.0850833654403687	0.5960080623626709	0.38743075728416443	0.23485387861728668	0.1955934762954712	0.171347513794899	0.0597318597137928	0.04787074401974678	0.004390695597976446	0.48857975006103516	0.20374946296215057	0.12462586164474487	0.08762826770544052	0.04787018895149231	0.03791550174355507	0.029909973964095116	0.011730539612472057	0.01035438384860754	0.002826866926625371
bloom-560m/11.mlp.dense_4h_to_h	0.006179746240377426	0.003023501019924879	0.001985664013773203	0.001368270954117179	0.0008212788379751146	0.0006982798804529011	0.0005615261616185308	0.00026117716333828866	0.0002554115781094879	9.427807526662946e-05	0.0056236376985907555	0.0029133325442671776	0.0018784389831125736	0.0013177767395973206	0.0007953831227496266	0.0006578481988981366	0.000540456676390022	0.00024940905859693885	0.00024186985683627427	8.795156463747844e-05
bloom-560m/11.mlp.dense_h_to_4h	0.10633356124162674	0.04803954064846039	0.030052121728658676	0.019690783694386482	0.011180976405739784	0.00953979603946209	0.0073690591380000114	0.003115355269983411	0.002845090813934803	0.0008481149561703205	0.09733597189188004	0.0454561784863472	0.027742039412260056	0.01906326226890087	0.010889614000916481	0.008726679719984531	0.007183428853750229	0.0030602868646383286	0.0027548521757125854	0.0008383468957617879
bloom-560m/11.self_attention.dense	0.0029183460865169764	0.001453052507713437	0.0009160636109299958	0.0006359281251206994	0.000369358342140913	0.00029984215507283807	0.0002461743715684861	0.00010679745173547417	9.636810864321887e-05	2.9680282750632614e-05	0.0028479434549808502	0.0014344466617330909	0.0009043618338182569	0.0006280632806010544	0.00036452995846048	0.00029592658393085003	0.00024259660858660936	0.0001045332319336012	9.431697253603488e-05	2.884371133404784e-05
bloom-560m/11.self_attention.query_key_value	0.6787301898002625	0.3796575367450714	0.2785121202468872	0.2112782746553421	0.14764560759067535	0.13020245730876923	0.11111322790384293	0.04372130706906319	0.03861023858189583	0.003132991725578904	0.3541966676712036	0.1446778029203415	0.08419909328222275	0.05941609665751457	0.032671526074409485	0.026073267683386803	0.02073267288506031	0.008145871572196484	0.0072668991051614285	0.0020022194366902113
bloom-560m/12.mlp.dense_4h_to_h	0.0069244252517819405	0.003545760177075863	0.0022625792771577835	0.0015907505294308066	0.0009451947407796979	0.000782655319198966	0.0006441581062972546	0.00029826778336428106	0.00028209149604663253	0.00010350378579460084	0.00653159711509943	0.0034184171818196774	0.0021628953982144594	0.001517977798357606	0.0009032745147123933	0.0007486006943508983	0.0006144433282315731	0.00028452969854697585	0.00027082127053290606	9.980784670915455e-05
bloom-560m/12.mlp.dense_h_to_4h	0.1312580406665802	0.05908721685409546	0.036693766713142395	0.024272771552205086	0.013753775507211685	0.011548930779099464	0.008996352553367615	0.003806199412792921	0.0035674748942255974	0.0010433831484988332	0.1216922476887703	0.05726645141839981	0.035104840993881226	0.02380572073161602	0.013541469350457191	0.010901562869548798	0.008908173069357872	0.0037575119640678167	0.0033870250917971134	0.0010184480343014002
bloom-560m/12.self_attention.dense	0.0029017727356404066	0.0014499088283628225	0.0009053739486262202	0.0006304884445853531	0.0003666151314973831	0.00029557710513472557	0.00024390820180997252	0.00010611442849040031	9.54384304350242e-05	2.955200216092635e-05	0.002822350710630417	0.0014153524534776807	0.0008858814253471792	0.0006172949215397239	0.0003587190294638276	0.0002890191972255707	0.00023854331811890006	0.0001036650501191616	9.309600864071399e-05	2.8913264031871222e-05
bloom-560m/12.self_attention.query_key_value	0.9373602271080017	0.48748263716697693	0.32957565784454346	0.2512111961841583	0.1726989597082138	0.14920592308044434	0.1311023086309433	0.0514102466404438	0.04302198812365532	0.0038097661454230547	0.43922528624534607	0.18308782577514648	0.10285967588424683	0.07800953090190887	0.043247371912002563	0.03435949608683586	0.027498895302414894	0.010693639516830444	0.00950812641531229	0.0025577431079000235
bloom-560m/13.mlp.dense_4h_to_h	0.0067512271925807	0.0034878128208220005	0.002213655970990658	0.0015571879921481013	0.0009230653522536159	0.0007545396219938993	0.0006278664222918451	0.00028840304003097117	0.0002655019343364984	9.538768790662289e-05	0.006408052518963814	0.0033316677436232567	0.0021174978464841843	0.00148676335811615	0.0008790632709860802	0.0007174669881351292	0.0005958405090495944	0.00027207020320929587	0.0002511601196601987	8.96622659638524e-05
bloom-560m/13.mlp.dense_h_to_4h	0.13642580807209015	0.06203491985797882	0.037101611495018005	0.025260256603360176	0.014249139465391636	0.011360970325767994	0.009316494688391685	0.003916388377547264	0.0035049179568886757	0.0010394523851573467	0.12615835666656494	0.05977673828601837	0.03621681407094002	0.02481476403772831	0.014040794223546982	0.01119380071759224	0.009194409474730492	0.0038657314144074917	0.0034629274159669876	0.0010323479073122144
bloom-560m/13.self_attention.dense	0.002959238365292549	0.001513181021437049	0.0009575271978974342	0.0006699856021441519	0.00039208345697261393	0.000316777266561985	0.00026176212122663856	0.00011439916852395982	0.00010300448047928512	3.209264104953036e-05	0.0028585828840732574	0.0014785612002015114	0.0009362000273540616	0.0006577577441930771	0.00038625072920694947	0.0003117139567621052	0.0002576943952590227	0.00011304541840218008	0.00010164266859646887	3.1668438168708235e-05
bloom-560m/13.self_attention.query_key_value	0.6084157824516296	0.3531225919723511	0.25758132338523865	0.20383815467357635	0.1459863781929016	0.12830324470996857	0.11284836381673813	0.041147321462631226	0.032881010323762894	0.004471380729228258	0.4195385277271271	0.17694596946239471	0.09873837232589722	0.07820101827383041	0.044258344918489456	0.03498978167772293	0.028413405641913414	0.011112959124147892	0.009853637777268887	0.002649836242198944
