Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
opt-125m/0.self_attn.out_proj	mse	6.786802259739488e-05	4.812968472833745e-05	4.21864097006619e-05
opt-125m/0.self_attn.q_proj	mse	0.16823141276836395	0.15208207070827484	0.14212656021118164
opt-125m/0.self_attn.v_proj	mse	0.0015291012823581696	0.0014165161410346627	0.0013338224962353706
opt-125m/1.fc1	mse	0.0024284333921968937	0.0022344535682350397	0.002107666339725256
opt-125m/1.fc2	mse	0.0012660581851378083	0.0012550883693620563	0.0012445527827367187
opt-125m/1.self_attn.k_proj	mse	0.24141381680965424	0.1811884492635727	0.149726003408432
opt-125m/1.self_attn.out_proj	mse	3.4900676837423816e-05	2.715705159062054e-05	2.3109541871235706e-05
opt-125m/1.self_attn.q_proj	mse	0.12956254184246063	0.09345602989196777	0.07623175531625748
opt-125m/1.self_attn.v_proj	mse	0.0018949642544612288	0.0016016536392271519	0.0013105619000270963
opt-125m/10.fc1	mse	0.008004043251276016	0.007257132325321436	0.006916046142578125
opt-125m/10.fc2	mse	0.001100663561373949	0.001059511094354093	0.0010230927728116512
opt-125m/10.self_attn.k_proj	mse	0.5480932593345642	0.5255013108253479	0.5106125473976135
opt-125m/10.self_attn.out_proj	mse	0.0003693766484502703	0.0003566528612282127	0.00034710383624769747
opt-125m/10.self_attn.q_proj	mse	0.26930031180381775	0.2547917664051056	0.24381816387176514
opt-125m/10.self_attn.v_proj	mse	0.014311020262539387	0.013703652657568455	0.013072781264781952
opt-125m/11.fc1	mse	0.012270697392523289	0.008932509459555149	0.008405473083257675
opt-125m/11.fc2	mse	0.021619321778416634	0.021051354706287384	0.019562775269150734
opt-125m/11.self_attn.k_proj	mse	0.20008467137813568	0.19389165937900543	0.18891924619674683
opt-125m/11.self_attn.out_proj	mse	0.0010544090764597058	0.0010158064542338252	0.0009853183291852474
opt-125m/11.self_attn.q_proj	mse	0.09786039590835571	0.09283486008644104	0.08890142291784286
