Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/14.self_attention.query_key_value	0.3421773612499237	0.2967331111431122	0.19723893702030182	0.17980360984802246	0.13868972659111023
bloom-560m/15.mlp.dense_4h_to_h	0.0038867397233843803	0.003849055152386427	0.0038965281564742327	0.003749149153009057	0.003550003282725811
bloom-560m/15.mlp.dense_h_to_4h	0.06355299055576324	0.06148181110620499	0.06592313945293427	0.06158431991934776	0.05338302627205849
bloom-560m/15.self_attention.dense	0.0013194348430261016	0.0013089179992675781	0.0013219492975622416	0.00129021261818707	0.0011684293858706951
bloom-560m/15.self_attention.query_key_value	0.3198799192905426	0.2855764329433441	0.18956267833709717	0.17607951164245605	0.14054042100906372
bloom-560m/16.mlp.dense_4h_to_h	0.004345810040831566	0.0043081603944301605	0.004340916872024536	0.004193589091300964	0.003978702239692211
bloom-560m/16.mlp.dense_h_to_4h	0.0634673610329628	0.06180210039019585	0.06554735451936722	0.061770763248205185	0.053393345326185226
bloom-560m/16.self_attention.dense	0.0014243246987462044	0.001411183038726449	0.0014309127582237124	0.001396194682456553	0.001269695581868291
bloom-560m/16.self_attention.query_key_value	0.34386172890663147	0.315149188041687	0.20799438655376434	0.1918327361345291	0.15162964165210724
bloom-560m/17.mlp.dense_4h_to_h	0.00503904651850462	0.0049998583272099495	0.00503239780664444	0.00485439645126462	0.004617135040462017
bloom-560m/17.mlp.dense_h_to_4h	0.06369562447071075	0.06164533272385597	0.06641267240047455	0.06194402277469635	0.05344023555517197
bloom-560m/17.self_attention.dense	0.001456530881114304	0.0014209660002961755	0.0014906792202964425	0.0014078698586672544	0.0012721591629087925
bloom-560m/17.self_attention.query_key_value	0.26001641154289246	0.2350541353225708	0.174948051571846	0.1622919887304306	0.12714654207229614
bloom-560m/18.mlp.dense_4h_to_h	0.005903264973312616	0.005868849810212851	0.005912493914365768	0.0057180519215762615	0.005445897579193115
bloom-560m/18.mlp.dense_h_to_4h	0.06605956703424454	0.06395456194877625	0.06903260946273804	0.06429339200258255	0.05528843402862549
bloom-560m/18.self_attention.dense	0.0018864498706534505	0.0018543337937444448	0.0019138455390930176	0.0018431134521961212	0.0016743462765589356
bloom-560m/18.self_attention.query_key_value	0.3985779583454132	0.2629758417606354	0.17444771528244019	0.16103918850421906	0.13307373225688934
bloom-560m/19.mlp.dense_4h_to_h	0.007059680763632059	0.007017308380454779	0.007085527293384075	0.006811995059251785	0.0064974878914654255
bloom-560m/19.mlp.dense_h_to_4h	0.06839711964130402	0.06619136035442352	0.07074013352394104	0.06646457314491272	0.0574105940759182
bloom-560m/19.self_attention.dense	0.0023871944285929203	0.0023605322930961847	0.0024861907586455345	0.0023252456448972225	0.002120773773640394
bloom-560m/19.self_attention.query_key_value	0.39658379554748535	0.3106682002544403	0.18158607184886932	0.16968350112438202	0.14026792347431183
bloom-560m/2.mlp.dense_4h_to_h	0.002397372853010893	0.0023648617789149284	0.002398520242422819	0.0023076049983501434	0.0021724768448621035
bloom-560m/2.mlp.dense_h_to_4h	0.055499494075775146	0.052889615297317505	0.05628080293536186	0.05302203446626663	0.04428151994943619
bloom-560m/2.self_attention.dense	0.00042243144707754254	0.00040872913086786866	0.0003812225768342614	0.00037221427191980183	0.00034317263634875417
bloom-560m/2.self_attention.query_key_value	0.056488391011953354	0.05606474354863167	0.055708397179841995	0.0550592802464962	0.0464051179587841
bloom-560m/20.mlp.dense_4h_to_h	0.010714655742049217	0.010092044249176979	0.010967109352350235	0.00973031297326088	0.008977970108389854
bloom-560m/20.mlp.dense_h_to_4h	0.07079662382602692	0.06805238127708435	0.07314138114452362	0.06812919676303864	0.058876994997262955
bloom-560m/20.self_attention.dense	0.004473676905035973	0.004300563130527735	0.004330464638769627	0.003972858190536499	0.0034477729350328445
bloom-560m/20.self_attention.query_key_value	0.4659750163555145	0.3556971549987793	0.18837328255176544	0.17574109137058258	0.14585062861442566
bloom-560m/21.mlp.dense_4h_to_h	0.025880509987473488	0.020170412957668304	0.026893561705946922	0.023169802501797676	0.018205221742391586
