Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
opt-350m/12.self_attn.out_proj	mse	0.0009834625525400043	0.0009829789632931352	0.000977890333160758
opt-350m/12.self_attn.q_proj	mse	0.02111646719276905	0.021087978035211563	0.02102172002196312
opt-350m/12.self_attn.v_proj	mse	0.01511341892182827	0.01509285531938076	0.015139090828597546
opt-350m/13.fc1	mse	0.01745552197098732	0.017426930367946625	0.017166800796985626
opt-350m/13.fc2	mse	0.0022080740891397	0.0022072766441851854	0.002202527364715934
opt-350m/13.self_attn.k_proj	mse	0.02125520259141922	0.02122587524354458	0.02116388827562332
opt-350m/13.self_attn.out_proj	mse	0.0010161652462556958	0.0010157434735447168	0.0010106634581461549
opt-350m/13.self_attn.q_proj	mse	0.02098963037133217	0.02096160128712654	0.02102312445640564
opt-350m/13.self_attn.v_proj	mse	0.01558244414627552	0.015561438165605068	0.015431111678481102
opt-350m/14.fc1	mse	0.017196666449308395	0.01716916449368	0.01700817421078682
opt-350m/14.fc2	mse	0.002046039327979088	0.002045356435701251	0.0020426451228559017
opt-350m/14.self_attn.k_proj	mse	0.02154909074306488	0.021516546607017517	0.021315570920705795
opt-350m/14.self_attn.out_proj	mse	0.0005661355680786073	0.000565773923881352	0.0005630906671285629
opt-350m/14.self_attn.q_proj	mse	0.02199656516313553	0.02196452021598816	0.02189585566520691
opt-350m/14.self_attn.v_proj	mse	0.017196202650666237	0.017168765887618065	0.016898952424526215
opt-350m/15.fc1	mse	0.016825519502162933	0.016798432916402817	0.016664475202560425
opt-350m/15.fc2	mse	0.0021123280748724937	0.0021116859279572964	0.002106175059452653
opt-350m/15.self_attn.k_proj	mse	0.021808242425322533	0.021776780486106873	0.021326057612895966
opt-350m/15.self_attn.out_proj	mse	0.0005730231059715152	0.0005726413219235837	0.0005708566168323159
opt-350m/15.self_attn.q_proj	mse	0.022269487380981445	0.022237567231059074	0.021982286125421524
opt-350m/15.self_attn.v_proj	mse	0.0164225734770298	0.016397446393966675	0.015745602548122406
opt-350m/16.fc1	mse	0.01633923314511776	0.016313623636960983	0.016209956258535385
opt-350m/16.fc2	mse	0.0020662343595176935	0.0020655400585383177	0.002058136509731412
opt-350m/16.self_attn.k_proj	mse	0.02190016396343708	0.0218691136687994	0.021448450163006783
opt-350m/16.self_attn.out_proj	mse	0.0007409276440739632	0.000740557094104588	0.0007373164989985526
opt-350m/16.self_attn.q_proj	mse	0.02294890210032463	0.022916194051504135	0.022527799010276794
opt-350m/16.self_attn.v_proj	mse	0.017428696155548096	0.017403289675712585	0.01683437079191208
opt-350m/17.fc1	mse	0.015608647838234901	0.015584338456392288	0.015502799302339554
opt-350m/17.fc2	mse	0.0018360576359555125	0.001835545408539474	0.001830625464208424
opt-350m/17.self_attn.k_proj	mse	0.02095457725226879	0.020924659445881844	0.020401813089847565
opt-350m/17.self_attn.out_proj	mse	0.000496930442750454	0.000496580614708364	0.0004946176195517182
opt-350m/17.self_attn.q_proj	mse	0.02232419140636921	0.02229287289083004	0.02169620990753174
opt-350m/17.self_attn.v_proj	mse	0.01642991602420807	0.0164090134203434	0.01570645160973072
opt-350m/18.fc1	mse	0.014767401851713657	0.014742964878678322	0.01466331072151661
opt-350m/18.fc2	mse	0.001621224102564156	0.0016207877779379487	0.0016159829683601856
opt-350m/18.self_attn.k_proj	mse	0.020194891840219498	0.020167868584394455	0.019718214869499207
opt-350m/18.self_attn.out_proj	mse	0.00035268423380330205	0.00035230242065154016	0.0003506665234453976
opt-350m/18.self_attn.q_proj	mse	0.0220319963991642	0.02200448513031006	0.02139466069638729
opt-350m/18.self_attn.v_proj	mse	0.015467565506696701	0.015446796081960201	0.01485600695014
opt-350m/19.fc1	mse	0.014223486185073853	0.014200778678059578	0.014110135845839977
opt-350m/19.fc2	mse	0.0015466546174138784	0.0015461896546185017	0.0015424592420458794
opt-350m/19.self_attn.k_proj	mse	0.020842719823122025	0.020812446251511574	0.02015761286020279
opt-350m/19.self_attn.out_proj	mse	0.00045694265281781554	0.0004564463743008673	0.00045319536002352834
opt-350m/19.self_attn.q_proj	mse	0.022417008876800537	0.02238534390926361	0.02162201888859272
opt-350m/19.self_attn.v_proj	mse	0.013220647349953651	0.013202623464167118	0.012790827080607414
opt-350m/2.fc1	mse	0.00912175141274929	0.009102258831262589	0.008996263146400452
opt-350m/2.fc2	mse	0.0006755549693480134	0.000675341347232461	0.0006739679374732077
opt-350m/2.self_attn.k_proj	mse	0.009902911260724068	0.00988331250846386	0.009732317179441452
opt-350m/2.self_attn.out_proj	mse	0.00014760179328732193	0.00014750007539987564	0.00014605800970457494
opt-350m/2.self_attn.q_proj	mse	0.010565971955657005	0.010546283796429634	0.010406972840428352
opt-350m/2.self_attn.v_proj	mse	0.005876670591533184	0.005864434409886599	0.005767210386693478
opt-350m/20.fc1	mse	0.014340518973767757	0.014316615648567677	0.014213606715202332
opt-350m/20.fc2	mse	0.001637676265090704	0.001637164386920631	0.0016328064957633615
opt-350m/20.self_attn.k_proj	mse	0.02293618582189083	0.022906482219696045	0.021380042657256126
opt-350m/20.self_attn.out_proj	mse	0.0005705220391973853	0.0005701009649783373	0.0005668586818501353
opt-350m/20.self_attn.q_proj	mse	0.022766828536987305	0.022737354040145874	0.021795328706502914
opt-350m/20.self_attn.v_proj	mse	0.011904818005859852	0.01188969798386097	0.011656342074275017
opt-350m/21.fc1	mse	0.014541424810886383	0.014515220187604427	0.014410151168704033
opt-350m/21.fc2	mse	0.0018323156982660294	0.0018316651694476604	0.0018287935527041554
opt-350m/21.self_attn.k_proj	mse	0.025140035897493362	0.02510632388293743	0.022832483053207397
opt-350m/21.self_attn.out_proj	mse	0.0005046442383900285	0.0005042563425377011	0.0005003915866836905
opt-350m/21.self_attn.q_proj	mse	0.02451903745532036	0.02448194846510887	0.023324228823184967
opt-350m/21.self_attn.v_proj	mse	0.011787477880716324	0.011772009544074535	0.01154598593711853
opt-350m/22.fc1	mse	0.013871608301997185	0.01384633220732212	0.013722059316933155
opt-350m/22.fc2	mse	0.002151436870917678	0.002150660613551736	0.0021449257619678974
opt-350m/22.self_attn.k_proj	mse	0.03640414774417877	0.03635162115097046	0.031669389456510544
opt-350m/22.self_attn.out_proj	mse	0.0010040494380518794	0.0010032837744802237	0.000996515853330493
opt-350m/22.self_attn.q_proj	mse	0.027913061901926994	0.027875490486621857	0.027517780661582947
opt-350m/22.self_attn.v_proj	mse	0.012599395588040352	0.012582002207636833	0.01242450624704361
opt-350m/23.fc1	mse	0.012043926864862442	0.012009942904114723	0.011925751343369484
opt-350m/23.fc2	mse	0.0020017318893224	0.0019995179027318954	0.0019877306185662746
opt-350m/23.self_attn.k_proj	mse	0.023803215473890305	0.023769043385982513	0.02237943559885025
opt-350m/23.self_attn.out_proj	mse	0.0011360516073182225	0.001133754849433899	0.001127251423895359
opt-350m/23.self_attn.q_proj	mse	0.022607143968343735	0.022571805864572525	0.022341711446642876
opt-350m/23.self_attn.v_proj	mse	0.01666518673300743	0.016642369329929352	0.016390834003686905
opt-350m/3.fc1	mse	0.009981906041502953	0.009961297735571861	0.009852224960923195
opt-350m/3.fc2	mse	0.000734178232960403	0.0007339873700402677	0.0007322616875171661
opt-350m/3.self_attn.k_proj	mse	0.011913768947124481	0.011893077753484249	0.011670533567667007
opt-350m/3.self_attn.out_proj	mse	0.0001529092260170728	0.00015278271166607738	0.00015163226635195315
opt-350m/3.self_attn.q_proj	mse	0.012784690596163273	0.01276205200701952	0.012621346861124039
opt-350m/3.self_attn.v_proj	mse	0.007332095876336098	0.00731921661645174	0.007288680411875248
opt-350m/4.fc1	mse	0.010614046826958656	0.010593508370220661	0.010481900535523891
opt-350m/4.fc2	mse	0.000835991813801229	0.0008357958286069334	0.0008353289449587464
opt-350m/4.self_attn.k_proj	mse	0.013372797518968582	0.013350062072277069	0.013083865866065025
opt-350m/4.self_attn.out_proj	mse	0.0001883507356978953	0.0001882523501990363	0.00018671003635972738
opt-350m/4.self_attn.q_proj	mse	0.013972071930766106	0.013950563967227936	0.013743196614086628
opt-350m/4.self_attn.v_proj	mse	0.007256169803440571	0.0072436705231666565	0.007167507894337177
opt-350m/5.fc1	mse	0.011079481802880764	0.011058542877435684	0.01096008438616991
