Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/15.self_attention.dense	0.0048931799829006195	0.0008419006480835378	0.0008392721647396684	0.0008674377459101379	0.0008138557896018028
bloom-560m/15.self_attention.query_key_value	0.34023213386535645	0.24136990308761597	0.11922037601470947	0.12055786699056625	0.10709431022405624
bloom-560m/16.mlp.dense_4h_to_h	0.03298991173505783	0.0027627365197986364	0.0027613388374447823	0.002886040136218071	0.0027408781461417675
bloom-560m/16.mlp.dense_h_to_4h	0.14596429467201233	0.040154263377189636	0.04077637940645218	0.0412415936589241	0.03796321153640747
bloom-560m/16.self_attention.dense	0.0047479611821472645	0.0008925535948947072	0.000895211473107338	0.0009114004787988961	0.0008704232750460505
bloom-560m/16.self_attention.query_key_value	0.3596496880054474	0.27312180399894714	0.14039738476276398	0.1423744410276413	0.12039872258901596
bloom-560m/17.mlp.dense_4h_to_h	0.0439290888607502	0.0032194480299949646	0.0032190384808927774	0.003356737084686756	0.003194918390363455
bloom-560m/17.mlp.dense_h_to_4h	0.14692094922065735	0.038714539259672165	0.04009092226624489	0.04043905809521675	0.03723875433206558
bloom-560m/17.self_attention.dense	0.005222422070801258	0.0009149910183623433	0.0009377981768921018	0.0009474328253418207	0.0008819676004350185
bloom-560m/17.self_attention.query_key_value	0.29045915603637695	0.19301556050777435	0.10403668880462646	0.10509630292654037	0.09495359659194946
bloom-560m/18.mlp.dense_4h_to_h	0.055110760033130646	0.0037956596352159977	0.0038009651470929384	0.003967333119362593	0.003765921574085951
bloom-560m/18.mlp.dense_h_to_4h	0.1540425419807434	0.040152013301849365	0.041572123765945435	0.042064301669597626	0.038566704839468
bloom-560m/18.self_attention.dense	0.0073271943256258965	0.0012153938878327608	0.0012355862418189645	0.0012608831748366356	0.0011780024506151676
bloom-560m/18.self_attention.query_key_value	0.29104164242744446	0.27317583560943604	0.11176615208387375	0.11519110202789307	0.10126330703496933
bloom-560m/19.mlp.dense_4h_to_h	0.07558545470237732	0.004569916054606438	0.004593774676322937	0.004846884869039059	0.004522962495684624
