Data	Standard	Sleekit
bloom-560m/8.mlp.dense_h_to_4h	0.01400202326476574	0.013264446519315243
bloom-560m/8.self_attention.dense	0.0007408990059047937	0.0007432587444782257
bloom-560m/8.self_attention.query_key_value	0.1606168895959854	0.07575395703315735
bloom-560m/9.mlp.dense_4h_to_h	0.0018056798726320267	0.0011358028277754784
bloom-560m/9.mlp.dense_h_to_4h	0.012050682678818703	0.01023852452635765
bloom-560m/9.self_attention.dense	0.0007796211866661906	0.0007809718372300267
bloom-560m/9.self_attention.query_key_value	0.25088900327682495	0.07859626412391663
opt-125m/0.fc1	0.0008940077386796474	0.000902267696801573
opt-125m/0.fc2	0.010809067636728287	0.0006214756867848337
opt-125m/0.self_attn.k_proj	0.293854683637619	0.11614169925451279
opt-125m/0.self_attn.out_proj	6.786802259739488e-05	3.9310780266532674e-05
opt-125m/0.self_attn.q_proj	0.16823141276836395	0.08188196271657944
opt-125m/0.self_attn.v_proj	0.0015291012823581696	0.0011029685847461224
opt-125m/1.fc1	0.0024284333921968937	0.004082193598151207
opt-125m/1.fc2	0.0012660581851378083	0.0009367118473164737
opt-125m/1.self_attn.k_proj	0.24141381680965424	0.06858542561531067
opt-125m/1.self_attn.out_proj	3.4900676837423816e-05	2.6396324756206013e-05
opt-125m/1.self_attn.q_proj	0.12956254184246063	0.045413512736558914
opt-125m/1.self_attn.v_proj	0.0018949642544612288	0.00164166244212538
opt-125m/10.fc1	0.008004043251276016	0.007569171953946352
opt-125m/10.fc2	0.001100663561373949	0.0010864801006391644
opt-125m/10.self_attn.k_proj	0.5480932593345642	0.2857084274291992
opt-125m/10.self_attn.out_proj	0.0003693766484502703	0.0003716112987603992
opt-125m/10.self_attn.q_proj	0.26930031180381775	0.16129343211650848
opt-125m/10.self_attn.v_proj	0.014311020262539387	0.014350970275700092
opt-125m/11.fc1	0.012270697392523289	0.009209000505506992
opt-125m/11.fc2	0.021619321778416634	0.018625715747475624
opt-125m/11.self_attn.k_proj	0.20008467137813568	0.14615990221500397
opt-125m/11.self_attn.out_proj	0.0010544090764597058	0.0009293596376664937
opt-125m/11.self_attn.q_proj	0.09786039590835571	0.085926353931427
opt-125m/11.self_attn.v_proj	0.016993990167975426	0.01695435494184494
opt-125m/2.fc1	0.002769242040812969	0.0026370331179350615
opt-125m/2.fc2	0.009287604130804539	0.0010205088183283806
opt-125m/2.self_attn.k_proj	0.5078817009925842	0.21091307699680328
opt-125m/2.self_attn.out_proj	1.847894054662902e-05	1.96152559510665e-05
opt-125m/2.self_attn.q_proj	0.5358218550682068	0.1506013572216034
opt-125m/2.self_attn.v_proj	0.00287358439527452	0.004532260354608297
opt-125m/3.fc1	0.0020522279664874077	0.0019651195034384727
opt-125m/3.fc2	0.0006132512935437262	0.00039859116077423096
opt-125m/3.self_attn.k_proj	1.336255431175232	0.11450401693582535
opt-125m/3.self_attn.out_proj	2.1757934518973343e-05	2.1713145542889833e-05
opt-125m/3.self_attn.q_proj	1.1575790643692017	0.11011969298124313
opt-125m/3.self_attn.v_proj	0.006960590835660696	0.008585534058511257
opt-125m/4.fc1	0.0033901638817042112	0.0029351457487791777
opt-125m/4.fc2	0.000703166238963604	0.00048355411854572594
opt-125m/4.self_attn.k_proj	1.6145892143249512	0.18153102695941925
opt-125m/4.self_attn.out_proj	3.067021316383034e-05	3.061045936192386e-05
opt-125m/4.self_attn.q_proj	1.0042328834533691	0.15353059768676758
opt-125m/4.self_attn.v_proj	0.007699370384216309	0.009310835041105747
opt-125m/5.fc1	0.0028373331297188997	0.002595228375867009
opt-125m/5.fc2	0.00018968917720485479	0.00016620974929537624
opt-125m/5.self_attn.k_proj	1.540079116821289	0.26225337386131287
opt-125m/5.self_attn.out_proj	5.3076091717230156e-05	5.307384344632737e-05
opt-125m/5.self_attn.q_proj	0.980219304561615	0.2276117354631424
opt-125m/5.self_attn.v_proj	0.007317771669477224	0.007895487360656261
opt-125m/6.fc1	0.0030236172024160624	0.002640780294314027
opt-125m/6.fc2	0.00024045944155659527	0.00021633128926623613
opt-125m/6.self_attn.k_proj	1.4626156091690063	0.2857305705547333
opt-125m/6.self_attn.out_proj	7.222460408229381e-05	7.198163075372577e-05
opt-125m/6.self_attn.q_proj	0.8024868965148926	0.21377414464950562
opt-125m/6.self_attn.v_proj	0.009501916356384754	0.010006360709667206
opt-125m/7.fc1	0.0035136116202920675	0.003402943490073085
opt-125m/7.fc2	0.0002903497370425612	0.00026800070190802217
opt-125m/7.self_attn.k_proj	0.9715248942375183	0.21270842850208282
opt-125m/7.self_attn.out_proj	0.00011339102638885379	0.00011144078598590568
opt-125m/7.self_attn.q_proj	0.46769022941589355	0.14794443547725677
opt-125m/7.self_attn.v_proj	0.009439210407435894	0.008832753635942936
opt-125m/8.fc1	0.0047780596651136875	0.004631745163351297
opt-125m/8.fc2	0.0004622314590960741	0.0004427162930369377
opt-125m/8.self_attn.k_proj	0.8243080973625183	0.23663146793842316
opt-125m/8.self_attn.out_proj	0.00018395711958874017	0.00018431758508086205
opt-125m/8.self_attn.q_proj	0.377849817276001	0.15611779689788818
opt-125m/8.self_attn.v_proj	0.011058825068175793	0.011264202184975147
