Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/15.self_attention.query_key_value	mse	0.3276636302471161	0.3257659673690796	0.31988000869750977	0.30753591656684875	0.29133257269859314	0.2849370837211609	0.30145156383514404
bloom-560m/16.mlp.dense_4h_to_h	mse	0.004352845251560211	0.004349842667579651	0.004345832392573357	0.004343067295849323	0.0043694572523236275	0.004484355915337801	0.004814439918845892
bloom-560m/16.mlp.dense_h_to_4h	mse	0.06431182473897934	0.06375859677791595	0.06346721947193146	0.06331539154052734	0.06358668208122253	0.0654502660036087	0.07123002409934998
bloom-560m/16.self_attention.dense	mse	0.0014239941956475377	0.0014237866271287203	0.0014243244659155607	0.0014232476241886616	0.0014282229822129011	0.0014623331371694803	0.0015616301679983735
bloom-560m/16.self_attention.query_key_value	mse	0.35842689871788025	0.35349810123443604	0.3438619077205658	0.329923152923584	0.3106496334075928	0.3040028512477875	0.32285916805267334
bloom-560m/17.mlp.dense_4h_to_h	mse	0.005047343671321869	0.005045006517320871	0.005039076320827007	0.005033975467085838	0.005068058148026466	0.00521130720153451	0.005603550933301449
bloom-560m/17.mlp.dense_h_to_4h	mse	0.06410006433725357	0.06388533860445023	0.06369563192129135	0.06349088251590729	0.06383761763572693	0.06585393846035004	0.07205087691545486
bloom-560m/17.self_attention.dense	mse	0.0014649492222815752	0.0014586516190320253	0.0014565307646989822	0.0014505749568343163	0.001458498416468501	0.0015063316095620394	0.0016532052541151643
bloom-560m/17.self_attention.query_key_value	mse	0.26556679606437683	0.2625570595264435	0.2600162625312805	0.24960868060588837	0.2341461032629013	0.23060230910778046	0.2462928146123886
bloom-560m/18.mlp.dense_4h_to_h	mse	0.00592714361846447	0.005918314214795828	0.005903257057070732	0.00589757738634944	0.005948923993855715	0.006134256720542908	0.0066171372309327126
bloom-560m/18.mlp.dense_h_to_4h	mse	0.06660833954811096	0.06633025407791138	0.06606054306030273	0.06582193076610565	0.06616082042455673	0.06843195110559464	0.07520808279514313
bloom-560m/18.self_attention.dense	mse	0.0018879107665270567	0.001889932551421225	0.0018864769954234362	0.0018792729824781418	0.001894226879812777	0.0019577478524297476	0.0021331505849957466
bloom-560m/18.self_attention.query_key_value	mse	0.42980870604515076	0.42399314045906067	0.3985779583454132	0.3678930699825287	0.3490811884403229	0.3286556303501129	0.34616684913635254
bloom-560m/19.mlp.dense_4h_to_h	mse	0.007107975427061319	0.007089599967002869	0.007059648633003235	0.007044379599392414	0.007110480684787035	0.007362613454461098	0.007994183339178562
bloom-560m/19.mlp.dense_h_to_4h	mse	0.06906504184007645	0.06869909167289734	0.06839761137962341	0.06822599470615387	0.06863386929035187	0.07108111679553986	0.07825109362602234
bloom-560m/19.self_attention.dense	mse	0.002388316672295332	0.002387237036600709	0.0023872212041169405	0.0023884447291493416	0.0024007195606827736	0.0024728227872401476	0.0026769768446683884
bloom-560m/19.self_attention.query_key_value	mse	0.388455867767334	0.38936880230903625	0.3965834081172943	0.38373807072639465	0.34952282905578613	0.3348282277584076	0.34331855177879333
bloom-560m/2.mlp.dense_4h_to_h	mse	0.0024075645487755537	0.002403335180133581	0.0023973751813173294	0.002392377471551299	0.002414342714473605	0.002509803744032979	0.0027649360708892345
bloom-560m/2.mlp.dense_h_to_4h	mse	0.05589645355939865	0.05578719824552536	0.05549977719783783	0.05504017323255539	0.05488162115216255	0.0561622716486454	0.0610017403960228
bloom-560m/2.self_attention.dense	mse	0.0004270580830052495	0.00042482579010538757	0.00042243144707754254	0.0004148977459408343	0.0004154207999818027	0.00043883349280804396	0.0005029921885579824
bloom-560m/2.self_attention.query_key_value	mse	0.0570305697619915	0.05669806897640228	0.05648833513259888	0.05625167116522789	0.056142229586839676	0.057294946163892746	0.06193751469254494
bloom-560m/20.mlp.dense_4h_to_h	mse	0.011183399707078934	0.011058557778596878	0.01071532629430294	0.01037592627108097	0.010219945572316647	0.010575151070952415	0.011691655963659286
bloom-560m/20.mlp.dense_h_to_4h	mse	0.07194790989160538	0.07140985876321793	0.07079540938138962	0.0702560693025589	0.07044684141874313	0.07306253165006638	0.08096884191036224
bloom-560m/20.self_attention.dense	mse	0.004516776651144028	0.004504031501710415	0.004473676905035973	0.004420994780957699	0.004376551602035761	0.004480529576539993	0.004910458344966173
bloom-560m/20.self_attention.query_key_value	mse	0.44830307364463806	0.44962283968925476	0.4659743309020996	0.4483993947505951	0.41223371028900146	0.39177119731903076	0.39400920271873474
