Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
opt-125m/2.self_attn.k_proj	mse	0.557556688785553	0.495320588350296	0.49863600730895996
opt-125m/2.self_attn.out_proj	mse	2.8603475584532134e-05	2.8493681384134106e-05	2.8156637199572287e-05
opt-125m/2.self_attn.q_proj	mse	0.40461719036102295	0.3424958288669586	0.34301304817199707
opt-125m/2.self_attn.v_proj	mse	0.0038112241309136152	0.0037278856616467237	0.003692788304761052
opt-125m/3.fc1	mse	0.0038145894650369883	0.00315971951931715	0.0029032446909695864
opt-125m/3.fc2	mse	8.21394132799469e-05	8.186806371668354e-05	8.10199198895134e-05
opt-125m/3.self_attn.k_proj	mse	1.0584830045700073	0.769217312335968	0.7435895800590515
opt-125m/3.self_attn.out_proj	mse	3.432040102779865e-05	3.419477434363216e-05	3.3911939681274816e-05
opt-125m/3.self_attn.q_proj	mse	0.9481424689292908	0.6566596627235413	0.6433821320533752
opt-125m/3.self_attn.v_proj	mse	0.005241855978965759	0.0050401221960783005	0.005002256948500872
opt-125m/4.fc1	mse	0.007085541263222694	0.004913652315735817	0.005018382798880339
opt-125m/4.fc2	mse	0.00017022019892465323	0.00016959018830675632	0.0001688257761998102
opt-125m/4.self_attn.k_proj	mse	1.8144893646240234	1.2900943756103516	1.2427014112472534
opt-125m/4.self_attn.out_proj	mse	4.986498970538378e-05	4.9564940127311274e-05	4.906308822683059e-05
opt-125m/4.self_attn.q_proj	mse	1.1785550117492676	0.7936277389526367	0.7814098000526428
opt-125m/4.self_attn.v_proj	mse	0.007057925220578909	0.006619152147322893	0.0065305703319609165
opt-125m/5.fc1	mse	0.005475234240293503	0.0043382165022194386	0.004350266885012388
opt-125m/5.fc2	mse	0.0002587065100669861	0.0002580956497695297	0.0002576188126113266
opt-125m/5.self_attn.k_proj	mse	1.7226309776306152	1.2347489595413208	1.1813242435455322
opt-125m/5.self_attn.out_proj	mse	8.471182081848383e-05	8.442716352874413e-05	8.386834088014439e-05
opt-125m/5.self_attn.q_proj	mse	1.1530131101608276	0.8332074284553528	0.7970812916755676
opt-125m/5.self_attn.v_proj	mse	0.0062319026328623295	0.005988323595374823	0.005877831485122442
opt-125m/6.fc1	mse	0.005898043513298035	0.00437559699639678	0.0045714909210801125
opt-125m/6.fc2	mse	0.00034119581687264144	0.00033933576196432114	0.0003379092086106539
opt-125m/6.self_attn.k_proj	mse	1.5830620527267456	1.1607627868652344	1.0883747339248657
opt-125m/6.self_attn.out_proj	mse	0.00011690970131894574	0.00011631217785179615	0.0001153561970568262
